"Широта","Долгота","Описание","Подпись","Номер метки"
56.313958,43.994324,"Станция метро; </br>
Россия, Нижний Новгород, улица Максима Горького","Горьковская",
56.266463,43.913408,"Станция метро; </br>
Россия, Нижний Новгород, проспект Ленина","Пролетарская",
56.242039,43.858167,"Станция метро; </br>
Россия, Нижний Новгород, Молодёжный проспект","Парк культуры",
56.322084,43.948384,"Станция метро; </br>
площадь Революции, 5, Нижний Новгород, Россия","Метро Московская",
56.335289,43.949545,"Станция метро; </br>
Россия, Нижний Новгород, жилой район Мещерское Озеро","Стрелка",
56.321233,43.94788,"Станция метро; </br>
площадь Революции, 5А, Нижний Новгород, Россия","Московская",
56.320742,43.926685,"Станция метро; </br>
Россия, Нижний Новгород, Сормовско-Мещерская линия, метро Канавинская","Канавинская",
56.309782,43.937056,"Станция метро; </br>
Россия, Нижний Новгород, метро Чкаловская","Чкаловская",
56.299065,43.937906,"Станция метро; </br>
Россия, Нижний Новгород, Автозаводская линия, метро Ленинская","Ленинская",
56.257349,43.902207,"Станция метро; </br>
Россия, Нижний Новгород, проспект Ленина","Автозаводская",
56.252296,43.889177,"Станция метро; </br>
Россия, Нижний Новгород, проспект Ленина","Комсомольская",
56.285146,43.927534,"Станция метро; </br>
Россия, Нижний Новгород, Автозаводская линия, метро Заречная","Заречная",
56.333295,43.894789,"Станция метро; </br>
Россия, Нижний Новгород, Сормовское шоссе","Буревестник",
56.321722,43.9448,"Станция метро; </br>
площадь Революции, 2А, Нижний Новгород, Россия","Метро Московская",