number,name,address,note
1,пр.Ветеранов-1,"г. Санкт-Петербург, бульвар Новаторов, д.98 в",-
2,пр.Ветеранов-2,"г. Санкт-Петербург, бульвар Новаторов, д.108 а",-
3,Ленинский пр.-1,"г. Санкт-Петербург, Ленинский пр., д.127",-
4,Ленинский пр.-2,"г. Санкт-Петербург, бульвар Новаторов, д.10",-
5,Автово,"г. Санкт-Петербург, пр.Стачек, д.90 корпус 2",-
6,Кировский з-д,"г. Санкт-Петербург, пр.Стачек, д.70",-
7,Нарвская,"г. Санкт-Петербург, пл. Стачек, д.2",-
8,Балтийская,"г. Санкт-Петербург, пл.Балтийского вокзала, д.1",-
9,Пушкинская,"г. Санкт-Петербург, Загородный проспект, 52А",-
10,пл.Восстания-1,"г. Санкт-Петербург, пл.Восстания, д.2",-
11,пл.Восстания-2,"г. Санкт-Петербург, Невский проспект, д.85",-
12,Чернышевская,"г. Санкт-Петербург, пр.Чернышевского, д.20",-
13,пл.Ленина-1,"г. Санкт-Петербург, пл. Ленина, д.6",-
14,пл.Ленина-2,"г. Санкт-Петербург, ул. Академика Лебедева, д.31",-
15,Выборгская,"г. Санкт-Петербург, ул.Смолячкова, д.21",-
16,Лесная,"г. Санкт-Петербург, ул. Кантемировская, д.25",-
17,пл.Мужества,"г. Санкт-Петербург, ул.Политехническая, д.17, к.1",-
18,Политехническая,"г. Санкт-Петербург, ул. Политехническая , д.29 литер Б",-
19,Академическая,"г. Санкт-Петербург, пр. Науки, д.19, корпус 1",-
20,Гражданский,"г. Санкт-Петербург, Гражданский проспект, 116 литер А",-
21,Девяткино,"г. Санкт-Петербург, ул. Вокзальная, д.3 а",-
22,Маяковская,"г. Санкт-Петербург, улица Марата, д. 1/71",-
23,3венигородская,"г. Санкт-Петербург, ул.Звенигородская д.1, корпус 2",-
24,Купчино,"г. Санкт-Петербург, Витебский пр. , д.108",-
25,Звездная,"г. Санкт-Петербург, Звёздная улица, д.3 корпус 1",-
26,Московская-1,"г. Санкт-Петербург, Московский пр., д.197",-
27,Московская-2,"г. Санкт-Петербург, Московский пр. , д.195",-
28,Парк Победы,"г. Санкт-Петербург, Московский пр. , д. 188",-
29,Электросила,"г. Санкт-Петербург, Московский пр. , д.141",-
30,Московские Ворота,"г. Санкт-Петербург, Московский пр. , д.103",-
31,Фрунзенская,"г. Санкт-Петербург, Московский пр., д.71",-
32,Технологический Институт,"г. Санкт-Петербург, Московский пр., д. 28",-
33,Сенная,"г. Санкт-Петербург, Сенная пл., 2 а",-
34,Невский пр.-1,"г. Санкт-Петербург, Невский проспект, д. 30, литера А",-
35,Невский пр. -2,"г. Санкт-Петербург, Невский пр., д.30",-
36,Горьковская ,"г. Санкт-Петербург, Александровский парк, д.4 литер А",-
37,Петроградская,"г. Санкт-Петербург, Каменноостровский пр., д.37",-
38,Пионерская ,"г. Санкт-Петербург, Коломяжский пр.4",-
39,Удельная ,"г. Санкт-Петербург, ул. Елецкая, д.15 литер А",-
40,Озерки ,"г. Санкт-Петербург, Выборгское шоссе, д.1",-
41,пр.Просвещения ,"г. Санкт-Петербург, пр. Энгельса, д.140",-
42,Парнас ,"г. Санкт-Петербург, пр. Энгельса, д.162",-
43,Черная речка,"г. Санкт-Петербург, ул. Савушкина, д. 2",-
44,Гостиный двор ,"г. Санкт-Петербург, Невский пр., д.35",-
45,Спасская ,"г. Санкт-Петербург, Сенная площадь, 2 Б",-
46,Садовая,"г. Санкт-Петербург, Сенная площадь, д. 7, литера А, сооружение 3",-
47,Владимирская ,"г. Санкт-Петербург, ул.Большая Московская, д.2",-
48,Беговая,"г. Санкт-Петербург, Туристская улица, д.8, сооружение 1",-
49,Новокрестовская,"г. Санкт-Петербург, Южная дорога, д.32",-
50,Приморская ,"г. Санкт-Петербург, ул. Одоевского, д. 29",-
51,Василеостровская,"г. Санкт-Петербург, Средний проспект В.О. ",-
52,Пл.Ал.Невского-1 ,"г. Санкт-Петербург, пл. Александра Невского , д. 2",-
53,Елизаровская ,"г. Санкт-Петербург, улица Бабушкина, д. 10",-
54,Ломоносовская ,"г. Санкт-Петербург, ул. Бабушкина, д.69 А",-
55,Пролетарская ,"г. Санкт-Петербург, проспект Обуховской Обороны, д.114 корпус 1",-
56,Обухово ,"г. Санкт-Петербург, улица Грибакиных, д. 27",-
57,Рыбацкое ,"г. Санкт-Петербург, Тепловозная улица, д.31",-
58,ул.Дыбенко ,"г. Санкт-Петербург, ул. Дыбенко, д.26 литер А",-
59,пр.Большевиков ,"г. Санкт-Петербург, ул. Коллонтай, д.20",-
60,Ладожская ,"г. Санкт-Петербург, Заневский пр., д.69",-
61,Новочеркасская ,"г. Санкт-Петербург, Новочеркасский проспект, д. 28/19",-
62,Пл.Ал.Невского-2 ,"г. Санкт-Петербург, Чернорецкий пер., д.3",-
63,Лиговский пр.,"г. Санкт-Петербург, Лиговский пр., д.88",-
64,Достоевская ,"г. Санкт-Петербург, Владимирский пр., д.23",-
65,Шушары,"г.Санкт-Петербург, Софийская ул., д 113",-
66,Дунайская-1,"г.Санкт-Петербург, ул. Бухарестская, д.83",-
67,Дунайская-2,"г.Санкт-Петербург, ул. Бухарестская, д.83",-
68,Проспект Славы-1,"г.Санкт-Петербург, ул. Бухарестская, д.100",-
69,Проспект Славы-2,"г.Санкт-Петербург, ул. Бухарестская, д.100",-
70,Международная ,"г. Санкт-Петербург, ул. Белы Куна, д.3",-
71,Бухарестская ,"г. Санкт-Петербург, ул. Бухарестская, д.30",-
72,Волковская ,"г. Санкт-Петербург, Волковский пр., д.32",-
73,Обводный канал,"г. Санкт-Петербург, Лиговский пр., д.153",-
74,Адмиралтейская ,"г. Санкт-Петербург, Малая морская ул., 4/1",-
75,Спортивная ,"г. Санкт-Петербург, пр. Добролюбова, д.20 корпус 1, литер В",-
76,Спортивная-2,"г. Санкт-Петербург, набережная Макарова",-
77,Чкаловская,"г. Санкт-Петербург, ул. Большая Зеленина, д. 12",-
78,Крестовский остров ,"г. Санкт-Петербург, Рюхина улица, д.8",-
79,Старая деревня,"г. Санкт-Петербург, Торфяная дорога, д.4",-
80,Комендантский пр. ,"г. Санкт-Петербург, Комендантский пр., 13 литер а",-
